Nombre	NombreCompleto
D. Djigla	David Djigla
D. Docherty	Dominic Docherty
D. Donohue	Dion Donohue
D. Doronin	Dmitriy Doronin
D. Dos Santos	Dabney Dos Santos
D. Douline	David Douline
D. Dražic	Dejan Dražic
D. Drescher	Daniel Drescher
D. Drexler	Dominick Drexler
D. Drinkwater	Danny Drinkwater
D. Drocco	David Drocco
D. Duarte	Deroy Duarte
D. Dueña	Dino Dueña
D. Duka	Dilly Duka
D. Dumfries	Denzel Dumfries
D. Dumic	Dario Dumic
D. Dumont	Damien Dumont
D. Dussaut	Damien Dussaut
D. Dwyer	Dom Dwyer
D. Dykes	Dylan Dykes
D. Dziwniel	Daniel Dziwniel
D. Eckert	Dennis Eckert
D. Edgar	David Edgar
D. Edwards	David Edwards
D. Elm	David Elm
D. Engström	David Engström
D. Erdmann	Dennis Erdmann
D. Erdogan	Dogan Erdogan
D. Ermakov	Danila Ermakov
D. Ernst	Dominik Ernst
D. Escalonas	Dario Escalonas
D. Etienne Jr.	Derrick Etienne Jr.
D. Evangelista	Duilio Evangelista
D. Evtimov	Dimitar Evtimov
D. Fabbrini	Diego Fabbrini
D. Fagundez	Diego Fagundez
D. Falcinelli	Diego Falcinelli
D. Faupala	David Faupala
D. Feka	Dren Feka
D. Ferdiz	Douglas Ferdiz
D. Ferfelis	Dimitrios Ferfelis
D. Fisher	Darnell Fisher
D. Fletcher	Darren Fletcher
D. Flinta	Dennis Flinta
D. Florada	Darwin Florada
D. Follonier	Daniel Follonier
D. Foran	Derek Foran
D. Forde	David Forde
D. Formella	Dariusz Formella
D. Foulquier	Dimitri Foulquier
D. Fox	David Fox
D. Fox	Daniel Fox
D. Fox	Dylan Fox
D. Frahn	Daniel Frahn
D. Franke	Dominik Franke
D. Frattesi	Davide Frattesi
D. Frick	Davy Frick
D. Frieser	Dominik Frieser
D. Fry	Dael Fry
D. Furlong	Darnell Furlong
D. Furman	Dominik Furman
D. Gape	Dominic Gape
D. Gardner	Dan Gardner
D. Garufo	Desiderio Garufo
D. Gasparetto	Daniele Gasparetto
D. Gastaldello	Daniele Gastaldello
D. Gavazzi	Davide Gavazzi
D. Gayle	Dwight Gayle
D. Geiger	Dennis Geiger
D. Geiger	Dennis Geiger
D. Genreau	Denis Genreau
D. George	Dylan George
D. Georgievski	Daniel Georgievski
D. Gerken	Dean Gerken
D. Geurts	Darryl Geurts
D. Gibson	Darron Gibson
D. Ginczek	Daniel Ginczek
D. Giorgino	Davide Giorgino
D. Giorico	Daniele Giorico
D. Giraldo	Daniel Giraldo
D. Gissi	Dylan Gissi
D. Glushakov	Denis Glushakov
D. Gnaase	Dave Gnaase
D. Godín	Diego Godín
D. Gojko	Denis Gojko
D. Gómez	Denis Gómez
D. Gómez	David Gómez
D. Gómez	Diego Gómez
D. Gomis	David Gomis
D. González	Darwin González
D. González	Dairin González
D. González	Daniel González
D. González	Diego González
D. González	David González
D. González	Derlis González
D. Gordon	Daniel Gordon
D. Gorman	Dale Gorman
D. Gorter	Donny Gorter
D. Gosling	Dan Gosling
D. Goutas	Dimitrios Goutas
D. Graham	Danny Graham
D. Grainger	Danny Grainger
D. Grange	Dorian Grange
D. Granli	Daniel Granli
D. Gray	Demarai Gray
D. Gray	David Gray
D. Grétarsson	Daníel Leó Grétarsson
D. Grishko	Dmytro Grishko
D. Grote	Dennis Grote
D. Guba	Dávid Guba
D. Guerrero	Daniel Guerrero
D. Guidileye	Diallo Guidileye
D. Gustavsson	Daniel Gustavsson
D. Guzman	David Guzman
D. Gyollai	Dániel Gyollai
D. Haas	Daniel Haas
D. Hadzikadunic	Dennis Hadzikadunic
D. Hägele	Daniel Hägele
D. Halfar	Daniel Halfar
D. Harvie	Daniel Harvie
D. Haspolat	Dogucan Haspolat
D. Hawkshaw	Dean Hawkshaw
D. Hayes	Dylan Hayes
D. Hediger	Dennis Hediger
D. Heintz	Dominique Heintz
D. Henderson	Dean Henderson
D. Henry	Doneil Henry
D. Hernández	Diego Hernández
D. Hernández	Daniel Hernández
D. Herner	Diego Herner
D. Herrera	Duman Herrera
D. Heuer Fernandes	Daniel Heuer Fernandes
D. Higgins	Daniel Higgins
D. Hladun	Dominik Hladun
D. Høegh	Daniel Høegh
D. Hoesen	Danny Hoesen
D. Hofbauer	Dominik Hofbauer
D. Holla	Danny Holla
D. Holm	Daniel Fredheim Holm
D. Holmes	Duane Holmes
D. Horgan	Daryl Horgan
D. Horst	David Horst
D. Hovorka	David Hovorka
D. Hutchinson	Desmond Hutchinson
D. Hyam	Dominic Hyam
D. Hylton	Danny Hylton
D. Imperiale	Daniel Imperiale
D. Imrie	Dougie Imrie
D. Ingham	Dane Ingham
D. Ings	Danny Ings
D. Iorfa	Dominic Iorfa
D. Irandust	Daleho Irandust
D. Ivan	Dávid Ivan
D. Iversen	Daniel Iversen
D. Jaiyesimi	Diallang Jaiyesimi
D. Jakovic	Dejan Jakovic
D. Jamieson	Darren Jamieson
D. Janmaat	Daryl Janmaat
D. Jardine	Daniel Jardine
D. Jarl	Daniel Jarl
D. Jarvis	Dean Jarvis
D. Jarvis	Daniel Jarvis
D. Jensen	David Jensen
D. Jevtic	Darko Jevtic
D. Jiménez	Diego Rafael Jiménez
D. Johannesson	Diego Johannesson
D. John	Declan John
D. Johnsen	Dennis Johnsen
D. Johnson	Daniel Johnson
D. Johnson	Darnell Johnson
D. Johnson	Daniel Johnson
D. Johnstone	Denny Johnstone
D. Jonczy	Dominik Jonczy
D. Jones	Derrick Jones
D. Jones	Daniel Jones
D. Jones	David Jones
D. Jørgensen	Daniel Segev Jørgensen
D. Kadah	Deniz Kadah
D. Kadzior	Damian Kadzior
D. Kaiser	Dominik Kaiser
D. Kamada	Daichi Kamada
D. Kane	Danny Kane
D. Karimani	Dardan Karimani
D. Kearns	Daniel Kearns
D. Keet	Darren Keet
D. Keillor-Dunn	Davis Keillor-Dunn
D. Keita-Ruel	Daniel Keita-Ruel
D. Kelly-Evans	Devon Kelly-Evans
D. Kelly-Evans	Dion Kelly-Evans
D. Kemp	Dan Kemp
D. Kempe	Dennis Kempe
D. Khalid	Driss Khalid
D. Khocholava	Davit Khocholava
D. Khomchenovskyi	Dmytro Khomchenovskyi
D. Khomich	Dmitriy Khomich
D. Kiki	David Kiki
D. Kikuchi	Daisuke Kikuchi
D. Kiliç	Doganay Kiliç
D. King	Dylan King
D. Kinsombi	David Kinsombi
D. Klaassen	Davy Klaassen
D. Kobayashi	Daigo Kobayashi
D. Kohr	Dominik Kohr
D. Kolovetsios	Dimitrios Kolovetsios
D. Kolovos	Dimitris Kolovos
D. Kombarov	Dmitriy Kombarov
D. Konate	Dramane Konate
D. Konaté	Daouda Konaté
D. Konstantinidis	Dimitris Konstantinidis
D. Konstantopoulos	Dimitrios Konstantopoulos
D. Koppers	Dico Koppers
D. Kort	Dawid Kort
D. Koukou	Djiman Koukou
D. Kourmpelis	Dimitrios Kourmpelis
D. Kovacic	Dominik Kovacic
D. Kownacki	Dawid Kownacki
D. Kozica	Dzenis Kozica
D. Kreilach	Damir Kreilach
D. Kuciak	Dušan Kuciak
D. Kulakov	Denys Kulakov
D. Kumbela	Domi Kumbela
D. Kurminowski	Dawid Kurminowski
D. Kutesa	Dereck Kutesa
D. Kutin	Denis Kutin
D. Kuzyaev	Daler Kuzyaev
D. Labran	Dilan Labran
D. Lachman	Darryl Lachman
D. Ladan	Delano Ladan
D. Lafata	David Lafata
D. Lafferty	Daniel Lafferty
D. Lainez	Diego Lainez
D. Lalhlimpuia	Daniel Lalhlimpuia
D. Lamkel Ze	Didier Lamkel Ze
D. Larsson	Daniel Larsson
D. Latza	Danny Latza
D. Lavalée	Dimitri Lavalée
D. Laxalt	Diego Laxalt
D. Lazic	Darko Lazic
D. Lazovic	Darko Lazovic
D. Leadbitter	Daniel Leadbitter
D. Ledecký	David Ledecký
D. Lekic	Dejan Lekic
D. Lemos	Damián Lemos
D. Lemus	Davinson Lemus
D. Lenihan	Darragh Lenihan
D. Léon	Donovan Léon
D. Lévêque	Dorian Lévêque
D. Lewington	Dean Lewington
D. Lewis	Dennon Lewis
D. Lezcano	Darío Lezcano
D. Liénard	Dimitri Liénard
D. Limnios	Dimitris Limnios
D. Linsmayer	Denis Linsmayer
D. Lippert	Dennis Lippert
D. Ljubicic	Dejan Ljubicic
D. Lloyd	Danny Lloyd
D. Lodesani	Davide Lodesani
D. Loft	Doug Loft
D. Londoño	Daniel Londoño
D. Lopar	Daniel Lopar
D. López	Darwin López
D. López	Daniel López
D. Louiserre	Dylan Louiserre
D. Love	Donald Love
D. Lovitz	Daniel Lovitz
D. Lovren	Davor Lovren
D. Lovren	Dejan Lovren
D. Luckassen	Derrick Luckassen
D. Luczak	Daniel Luczak
D. Lukasik	Daniel Lukasik
D. Lukebakio	Dodi Lukebakio
D. Luppi	Davide Luppi
D. Luxbacher	Daniel Luxbacher
D. Luydens	Diederick Luydens
D. Lyon	Darren Lyon
D. Machado	Deiver Machado
D. Machís	Darwin Machís
D. MacKinnon	Darian MacKinnon
D. Maekawa	Daiya Maekawa
D. Maietta	Domenico Maietta
D. Mancini	Daniel Mancini
D. Mangni	Doudou Mangni
D. Marcellis	Dirk Marcellis
D. Marcq	Damien Marcq
D. Maresic	Dario Maresic
D. Margush	Daniel Margush
D. Mariani	Davide Mariani
D. Marino	Daniele Marino
D. Markey	Darragh Markey
D. Marney	Dean Marney
D. Maroh	Dominic Maroh
D. Marshall	David Marshall
D. Marsura	Davide Marsura
D. Martin	David Martin
D. Martínez	Diego Martínez
D. Martínez	Damián Martínez
D. Marzino	Dario Marzino
D. Massey	Dane Massey
D. Mast	Dennis Mast
D. Matsuzaka	Daniel Matsuzaka
D. Mattocks	Darren Mattocks
D. Matulevicius	Deivydas Matulevicius
D. Mayor	Danny Mayor
D. Mboumbouni	Dylan Mboumbouni
D. McAllister	David McAllister
D. McCarty	Dax McCarty
D. McCrory	Damien McCrory
D. McDermott	Donal McDermott
D. McGeouch	Dylan McGeouch
D. McGoldrick	David McGoldrick
D. McGowan	Dylan McGowan
D. McGregor	Darren McGregor
D. McMillan	David McMillan
D. McNamara	Dan McNamara
D. McNulty	Damien McNulty
D. Meenan	Darren Meenan
D. Mehmedovic	Damir Mehmedovic
D. Mejía	Diego Mejía
D. Meleg	Dejan Meleg
D. Mendoza	Diego Mendoza
D. Meredith	Daniel Meredith
D. Mertens	Dries Mertens
D. Mesbah	Djamel Mesbah
D. Mesenhöler	Daniel Mesenhöler
D. Metzger	Dan Metzger
D. Meyler	David Meyler
D. Mignanelli	Daniele Mignanelli
D. Mihailovic	Djordje Mihailovic
D. Mihajlovic	Dragan Mihajlovic
D. Mikanovic	Dino Mikanovic
D. Milicevic	Danijel Milicevic
D. Milinkovic	David Manuel Milinkovic
D. Miloc	Dardo Miloc
D. Miloševic	Deni Miloševic
D. Milovic	Drago Milovic
D. Minz	Dominic Minz
D. Mirfin	David Mirfin
D. Mitchell	Demetri Mitchell
D. Mitov	Dimitar Mitov
D. Mitov Nilsson	David Mitov Nilsson
D. Moberg Karlsson	David Moberg Karlsson
D. Mohamed	Dimitri Mohamed
D. Monsalve	Dávinson Monsalve
D. Montenegro	Daniel Montenegro
D. Moor	Drew Moor
D. Morales	Diego Morales
D. Mordini	Davide Mordini
D. Moreno	Diego Moreno
D. Moreno	Didier Moreno
D. Moreno	Dayro Moreno
D. Moro	Davide Moro
D. Morrissey	Danny Morrissey
D. Mosquera	Dairon Mosquera
D. Mottley-Henry	Dylan Mottley-Henry
D. Mouchamps	Damien Mouchamps
D. Moxey	Dean Moxey
D. Mulcahy	Dave Mulcahy
D. Mullen	Daniel Mullen
D. Muñoz	Daniel Muñoz
D. Murillo	David Murillo
D. Murphy	Daryl Murphy
D. Mushitu	Daniel Mushitu
D. Musto	Damián Musto
D. Myrestam	David Myrestam
D. Nagbe	Darlington Nagbe
D. Nagy	Dominik Nagy
D. Nasu	Daisuke Nasu
D. Nazarov	Dimitrij Nazarov
D. Nazon	Duckens Nazon
D. N'Dinga	Delvin N'Dinga
D. Ndong	Didier Ndong
D. Ndongala	Dieumerci Ndongala
D. N'Doye	Dame N'Doye
D. Newton	Danny Newton
D. Niepsuj	David Niepsuj
D. Nikolaou	Dimitris Nikolaou
D. Nishi	Daigo Nishi
D. Niwa	Daiki Niwa
D. Nizic	Danijel Nizic
D. Noone	Darragh Noone
D. Nothnagel	Dominik Nothnagel
D. Nounkeu	Dany Nounkeu
D. Novaretti	Diego Novaretti
D. Novoa	Diego Novoa
D. Nugent	David Nugent
D. Nussbaumer	Daniel Nussbaumer
D. Oberlin	Dimitri Oberlin
D. O'Connor	David O'Connor
D. O'Dea	Darren O'Dea
D. Odoi	Denis Odoi
D. Oduro	Dominic Oduro
D. Offenbacher	Daniel Offenbacher
D. Ogawa	Daiki Ogawa
D. Okereke	David Okereke
D. Oko	Damian Oko
D. Oldaker	Darren Oldaker
D. Olsen	Danny Olsen
D. Olsson	Dennis Olsson
D. Olsson	David Olsson
D. Opare	Daniel Opare
D. Opazo	Daniel Opazo
D. Orgill	Dever Orgill
D. Origi	Divock Origi
D. Orlishausen	Dirk Orlishausen
D. Ortiz	Danilo Ortiz
D. Osei	Darius Osei
D. O'Shaughnessy	Daniel O'Shaughnessy
D. Ospina	David Ospina
D. Ousted	David Ousted
D. Ovono	Didier Ovono
D. Pabón	Dorlan Pabón
D. Padelli	Daniele Padelli
D. Parker	Devante Parker
D. Parra	Deiver Parra
D. Parra	Daniel Parra
D. Parrett	Dean Parrett
D. Pavelka	David Pavelka
D. Pavlovic	Daniel Pavlovic
D. Pawlowski	Dariusz Pawlowski
D. Payet	Dimitri Payet
D. Payne	Desevio Payne
D. Pedersen	Daniel Pedersen
D. Peitz	Dominic Peitz
D. Pelivan	Dominik Pelivan
D. Pelkas	Dimitrios Pelkas
D. Pender	Derek Pender
D. Peppard	Dominic Peppard
D. Peralta	Diego Peralta
D. Percidino	Diego Percidino
D. Pérez	Damián Pérez
D. Perkins	David Perkins
D. Perotti	Diego Perotti
D. Perquis	Damien Perquis
D. Perquis	Damien Perquis
D. Perrinelle	Damien Perrinelle
D. Petermann	Davide Petermann
D. Petkovic	Danijel Petkovic
D. Petratos	Dimitri Petratos
D. Petravicius	Deimantas Petravicius
D. Petric	Denis Petric
D. Petrovic	Danijel Petrovic
D. Phillips	Dillon Phillips
D. Phillips	Demar Phillips
D. Philliskirk	Danny Philliskirk
D. Pierias	Dylan Pierias
D. Pietrzkiewicz	Dawid Pietrzkiewicz
D. Pipe	David Pipe
D. Pisot	David Pisot
D. Podlesny	Damian Podlesny
D. Poggenberg	Dan-Patrick Poggenberg
D. Poha	Denis Will Poha
D. Poleon	Dominic Poleon
D. Pollet	David Pollet
D. Poloz	Dmitriy Poloz
D. Post	Danny Post
D. Potter	Darren Potter
D. Potts	Daniel Potts
D. Powell	Daniel Powell
D. Powers	Dillon Powers
D. Poyet	Diego Poyet
D. Praet	Dennis Praet
D. Pratley	Darren Pratley
D. Prokop	Dominik Prokop
D. Pröpper	Davy Pröpper
D. Pudil	Daniel Pudil
D. Pugh	Danny Pugh
D. Pybus	Dan Pybus
D. Quintero	Darwin Quintero
D. Rakels	Deniss Rakels
D. Randolph	Darren Randolph
D. Rangelov	Dimitar Rangelov
D. Rasak	Damian Rasak
D. Raum	David Raum
D. Redmond	Devonte Redmond
D. Redmond	Daniel Redmond
D. Reimann	Dominik Reimann
D. Reiter	Dominik Reiter
D. Remick	Dylan Remick
D. Reyes	Diego Reyes
D. Riascos	Duvier Riascos
D. Rice	Declan Rice
D. Richards	David Richards
D. Rigo	Dante Rigo
D. Riolfo	Diego Riolfo
D. Rodríguez	Diego Rodríguez
D. Rodríguez	Daniel Rodríguez
D. Rodríguez	Diego Rodríguez
D. Rodríguez	Dario Rodríguez
D. Rodríguez	Denis Rodríguez
D. Roef	Davy Roef
D. Rogers	Danny Rogers
D. Rojano	Daniel Rojano
D. Rolán	Diego Rolán
D. Romney	Dave Romney
D. Rose	Danny Rose
D. Rose	Danny Rose
D. Rose	Danny Rose
D. Rosero Valencia	Daniel Rosero Valencia
D. Rosin	Dennis Rosin
D. Roßbach	Damian Roßbach
D. Rotariu	Dorin Rotariu
D. Rowe	Danny Rowe
D. Rowe	Daniel Rowe
D. Royer	Daniel Royer
D. Rozehnal	David Rozehnal
D. Rubio	Diego Rubio
D. Rudd	Declan Rudd
D. Rugani	Daniele Rugani
D. Rugaševic	Dario Rugaševic
D. Rusov	Dobrivoj Rusov
D. Russo	Danilo Russo
D. Ryan	Dylan Ryan
D. Saint-Louis	Dylan Saint-Louis
D. Sakho	Diafra Sakho
D. Sallói	Dániel Sallói
D. Samassekou	Diadie Samassekou
D. Samuel	Dominic Samuel
D. Sánchez	Davinson Sánchez
D. Santon	Davide Santon
D. Sappa	Daniel Sappa
D. Šaric	Dario Šaric
D. Sato	Daisuke Sato
D. Sauerland	David Sauerland
D. Savage	Demba Savage
D. Scarr	Dan Scarr
D. Schad	Dominik Schad
D. Schahin	Dani Schahin
D. Schmid	Dominik Schmid
D. Schmidt	Damián Schmidt
D. Schmidt	Daniel Schmidt
D. Schmidt	Dominik Schmidt
D. Schmidt	Doke Schmidt
D. Schütz	Daniel Schütz
D. Schwaab	Daniel Schwaab
D. Sciaudone	Daniele Sciaudone
D. Segoviniozo	Dino Segoviniozo
D. Selke	Davie Selke
D. Senderón	Danilo Senderón
D. Serna	Dillon Serna
D. Sharkey	Declan Sharkey
D. Sidibé	Djibril Sidibé
D. Silva	David Silva
D. Simpson	Danny Simpson
D. Sinkgraven	Daley Sinkgraven
D. Siovas	Dimitrios Siovas
D. Sirella	Dante Sirella
D. Sjölund	Daniel Sjölund
D. Skhirtladze	Davit Skhirtladze
D. Slamar	Dennis Slamar
D. Smarsch	Dennis Smarsch
D. Smith	Darnell Smith
D. Smith	Donnie Smith
D. Smylie	Daryl Smylie
D. Snepvangers	Diego Snepvangers
D. Soddimo	Danilo Soddimo
D. Solanke	Dominic Solanke
D. Soldecki	Dawid Soldecki
D. Soldiez	Darwin Soldiez
D. Sorgic	Dejan Sorgic
D. Southwell	Dayle Southwell
D. Šovšic	Damir Šovšic
D. Sow	Djibril Sow
D. Srbeny	Dennis Srbeny
D. Srna	Darijo Srna
D. Srnic	Dragoljub Srnic
D. Stahl	Dominik Stahl
D. Stanese	Daniel Stanese
D. Starkl	Dominik Starkl
D. Stec	David Stec
D. Steininger	Daniel Steininger
D. Stephens	Dale Stephens
D. Steres	Daniel Steres
D. Sterling	Dujon Sterling
D. Stockdale	David Stockdale
D. Stojanovic	Dejan Stojanovic
D. Stotskiy	Dmitriy Stotskiy
D. Stracqualursi	Denis Stracqualursi
D. Stroh-Engel	Dominik Stroh-Engel
D. Stückler	Daniel Stückler
D. Sturridge	Daniel Sturridge
D. Stynes	Daniel Stynes
D. Suárez	Damián Suárez
D. Subašic	Danijel Subašic
D. Subotic	Danijel Subotic
D. Suga	Daiki Suga
D. Sugimoto	Daichi Sugimoto
D. Sundgren	Daniel Sundgren
D. Suzuki	Daisuke Suzuki
D. Swanson	Danny Swanson
D. Sweeney	Dylan Sweeney
D. Sysuev	Dmitriy Sysuev
D. Szufryn	Dawid Szufryn
D. Szymanski	Damian Szymanski
D. Tadic	Dušan Tadic
D. Talbot	Drew Talbot
D. Tarasov	Dmitriy Tarasov
D. Tarpey	Dave Tarpey
D. Tchamba	Duplexe Tchamba
D. Telford	Dom Telford
D. Templeton	David Templeton
D. Terentyev	Denis Terentyev
D. Texeira	David Texeira
D. Thøgersen	Daniel Thøgersen
D. Thomalla	Denis Thomalla
D. Thomas	Dominic Thomas
D. Thürkauf	Dario Thürkauf
D. Tiendalli	Dwight Tiendalli
D. Toia	Donny Toia
D. Toledo	David Toledo
D. Tomic	David Tomic
D. Tonucci	Denis Tonucci
D. Torres	Daniel Torres
D. Tošic	Duško Tošic
D. Toth	Daniel Toth
D. Trajkovski	Dejan Trajkovski
D. Traoré	Drissa Traoré
D. Trela	Dariusz Trela
D. Tshiembe	Delphin Tshiembe
D. Tuma	Davud Tuma
D. Tumasyan	Denis Tumasyan
D. Turnbull	David Turnbull
D. Turner	Dan Turner
D. Türüç	Deniz Türüç
D. Tutonda	David Tutonda
D. Ulm	David Ulm
D. Ulvestad	Dan Peter Ulvestad
D. Upamecano	Dayot Upamecano
D. Valdés	Diego Valdés
D. Valdez	David Valdez
D. Valencia	David Valencia
D. Valeri	Diego Valeri
D. Valoyes	Diego Valoyes
D. Vambolt	Denis Vambolt
D. van Bruggen	Damian van Bruggen
D. van Crooij	Delano van Crooij
D. van de Beek	Donny van de Beek
D. Van den Buijs	Dario Van den Buijs
D. Vanzeir	Dante Vanzeir
D. Vásquez	Devis Vásquez
D. Vaughan	David Vaughan
D. Vavro	Denis Vavro
D. Vega	Deyver Vega
D. Vega	David Vega
D. Vente	Dylan Vente
D. Vera	Diego Vera
D. Verde	Daniele Verde
D. Vergara	Duván Vergara
D. Verhulst	Davino Verhulst
D. Verwüster	Dennis Verwüster
D. Vidošic	Dario Vidošic
D. Viera	Diego Viera
D. Villalpando	Dieter Villalpando
D. Villalva	Daniel Villalva
D. Vitturini	Davide Vitturini
D. Volaš	Dalibor Volaš
D. Volkmer	Dominic Volkmer
D. von Ballmoos	David von Ballmoos
D. Vorobyev	Dmitriy Vorobyev
D. Vrzogic	David Vrzogic
D. Vukovic	Danny Vukovic
D. Ward	Danny Ward
D. Ward	Danny Ward
D. Warmerdam	Django Warmerdam
D. Wass	Daniel Wass
D. Watabe	Daisuke Watabe
D. Watmore	Duncan Watmore
D. Wayar	Diego Wayar
D. Webster	David Webster
D. Weglarz	Damian Weglarz
D. Welbeck	Danny Welbeck
D. Werker	Daryl Werker
D. Wheater	David Wheater
D. Wheeler	David Wheeler
D. Whitehead	Dean Whitehead
D. Widemann	Dominik Widemann
D. Widgren	Dennis Widgren
D. Wiebe	Danilo Wiebe
D. Williams	Denzel Williams
D. Williams	Danny Williams
D. Williams	Danny Williams
D. Williams	Derrick Williams
D. Wilson	Danny Wilson
D. Wilson	Donovan Wilson
D. Winnard	Dean Winnard
D. Wishart	Dan Wishart
D. Worrall	David Worrall
D. Wotherspoon	David Wotherspoon
D. Wouters	Dries Wouters
D. Wright	Danny Wright
D. Wright	Diaz Wright
D. Wright	Drey Wright
D. Wuytens	Dries Wuytens
D. Wydra	Dominik Wydra
D. Wynne	Deklan Wynne
D. Yao	Devann Yao
D. Yearwood	Dru Yearwood
D. Yedlin	DeAndre Yedlin
D. Yilmaz	Deniz Yilmaz
D. Yurchenko	David Yurchenko
D. Zabala	Diego Zabala
D. Zagadou	Dan-Axel Zagadou
D. Zakaria	Denis Zakaria
D. Zamora	Damir Zamora
D. Zanon	Damiano Zanon
D. Zapata	Duván Zapata
D. Zappacosta	Davide Zappacosta
D. Zappella	Davide Zappella
D. Zbozien	Damian Zbozien
D. Zeaiter	Daniel Zeaiter
D. Zeefuik	Deyovaisio Zeefuik
D. Zhivoglyadov	Dmitriy Zhivoglyadov
D. Zibung	David Zibung
D. Zielinski	Dawid Zielinski
D. Zuma	Dumisani Zuma
D. Zurutuza	David Zurutuza
Da Costa	Angelo Esmael da Costa Júnior
Dagoberto Esteiro	Dago Filipe Esteiro Cortejo
Daguinho Parrela	Dagoberto Josué Pinho Parrela
Dai Wai-Tsun	Wai-Tsun Dai
Dalbert	Dalbert Chagas Estevão
Dálcio	Euciodálcio Gomes
Dani Alves	Daniel Alves da Silva
Dani Calvo	Daniel Calvo Sanromán
Dani Cárdenas	Daniel Cárdenas Lindez
Dani Castellano	Daniel Castellano Betancor
Dani Ceballos	Daniel Ceballos Fernández
Dani García	Daniel Garcia Carrillo
Dani Giménez	Daniel Giménez Hernández
Dani Hernández	Daniel Hernández Santos
Dani Hernández	Daniel Hernández Sevilla
Dani Iglesias	Daniel Iglesias Gago
Dani Jiménez	Daniel Jiménez López
Dani Martín	Daniel Martín Fernández
Dani Molina	Daniel Molina Orta
Dani Morer	Daniel Morer Cabrera
Dani Nieto	Daniel Nieto Vela
Dani Ojeda	Daniel Ojeda Saranova
Dani Pacheco	Daniel Pacheco Lobato
Dani Renda	Daniel Álvarez Hospido
Dani Rochelinhas	Danilo Manuel Aldair Rochela
Dani Rodríguez	Daniel Rodríguez Vázquez
Dani Romera	Daniel Romera Andújar
Dani Sotres	Daniel Sotres Castañeda
Dani Suárez	Daniel Suárez Garcia
Dani Toribio	Daniel Toribio Gutiérrez
Daniel Amora	Daniel Lopes Amora
Daniel Ayala	Daniel Sanchez Ayala
Daniel Carriço	Daniel Filipe Martins Carriço
Daniel Podence	Daniel Castelo Podence
Daniel Raba	Daniel Raba Antolin
Danilo	Danilo Barbosa da Silva
Danilo	Danilo Teodoro Soares
Danilo	Danilo Larangeira
Danilo	Danilo Luiz da Silva
Danilo	Danilo Sousa Campos
Danilo Avelar	Danilo Fernando Avelar
Danilo Pereira	Danilo Luís Hélio Pereira
Danilo Sacrio	Danilo Manuel Sacrio Dano
Danisco Fachini	Daniel Clayton Fachini Lobato
Dankler	Dankler Luis de Jesus Pereira
Dante	Dante Bonfim Costa Santos
Dany Mota	Dany Mota Carvalho
Darío Poveda	Darío Poveda Romera
Davi Parrela	Davi Alexandre Parrela Ferreira
David Barral	David Barral Torres
David Batanero	David Batanero Puigbó
David Bruno	David Dias Resende Bruno
David Carmona	David Carmona Sierra
David Costas	David Costas Cordal
David de Paula	David de Paula Gallardo
David Fernández	David Fernández Cortázar
David Ferreiro	David Ferreiro Quiroga
David García	David García Santana
David García	David García Zubiria
David Gil	David Gil Mohedano
David Haro	David Haro Iniesta
David Juncà	David Juncà Reñé
David López	David López Silva
David Luiz	David Luiz Moreira Marinho
David Navarro	David Navarro Pedrós
David Neres	David Neres Campos
David Raya	David Raya Martin
David Rocha	David Mateos Rocha
David Rodríguez	David Rodríguez Sánchez
David Seijalbo	David Jefferson Seijalbo Vaz
David Silva	David Josué Jiménez Silva
David Simão	David Martins Simão
David Simón	David Simón Rodríguez Santana
David Soria	David Soria Solís
David Toro	David Del Toro Jiménez
David Villa	David Villa Sánchez
Davidson	Davidson da Luz Pereira
De Gea	David De Gea Quintana
De la Bella	Alberto de la Bella Madueño
De la Calzada	Ángel De la Calzada Ramos
De La Hoz	César De La Hoz López
De las Cuevas	Miguel Ángel De las Cuevas
De Marcos	Oscar De Marcos Arana
De Tomás	Raúl de Tomás Gómez
Deco	Fernando Pérez Quijada
Defendi	Rodrigo Defendi
Deivid	David Omar Rodríguez Barrera
Deleu	Luiz Carlos Santos
Delmás	Julián Javier Delmás Germán
Denaldo Carneiro	Denaldo Jonaldo Carneiro Rios
Dener	Dener Gomes Clemente
Dener Rolim	Dener Adão Rolim Leal
Deng Hanwen	Hanwen Deng
Dênildo Stein	Dênis Rubens Stein Rebelo
Dénis Duarte	Dénis Paulo Duarte
Denis Suárez	Denis Suárez Fernández
Dentinho	Bruno Ferreira Bonfim
Derik	Derik Osede Prieto
Derley	Vanderley Dias Marinho
Dersan Dinis	Dersan Jaime Dinis Abravanel
Deulofeu	Gerard Deulofeu Lázaro
Dídac Vilà	Dídac Vilà Roselló
Diego	Diego Rigonato Rodrigues
Diego Aguirre	Diego Aguirre Parra
Diego Alende	Diego Alende López
Diego Ângelo	Diego Ângelo de Oliveira
Diego Barri	Diego Hernández Barriuso
Diego Carlos	Diego Carlos Santos Silva
Diego Castro	Diego Castro Giménez
Diego Costa	Diego da Silva Costa
Diego Farías	Diego Farías da Silva
Diego Ferraresso	Diego Gustavo Ferraresso Scheda
Diego Galo	Diego Fortunato dos Santos Queiroz
Diego González	Diego González Polanco
Diego Llorente	Diego Javier Llorente Ríos
Diego López	Diego López Rodríguez
Diego Mariño	Diego Mariño Villar
